compound,E_ox,E_red
1,696.5,-1552.9
2,762.1,-1482.5
3,793.7,-1387.6
4,703.7,-1455.3
5,779.8,-1436.3
6,756.4,-1413.4
7,741.3,-1783.3
8,878.5,-1347.9
9,914,-1270
10,1016.1,-1217.1
11,853.8,-1315.2
12,946.1,-1255.1
13,793.9,-1479.52
14,763.7,-1621.3
15,909.9,-1504.8
16,729.5,-1591.4
17,726.9,-1552.6
18,718.5,-1598
19,765.3,-1722.7
20,997.2,-1396
21,1043.9,
22,1023,-1349.6
23,1000.3,-1504.8
24,1055.7,-1536.8
25,941.7,-1525.7
26,974.4,-1554
27,971,-1561
28,1024.2,-1935.5
29,1016.2,-1667.2
30,1022.9,-2331
31,1072.2,-1754.7
32,1106.5,-1616.7
33,1056.6,-1423.7
34,965.2,-1497.5
35,1100.3,-1757.6
36,469.1,-1336
37,481,-1313.4
38,529.8,-1390.5
39,512.7,-1355.6
40,486.1,-1328.4
41,527.2,-1475.4
42,510.8,-1792
43,554.2,-1542.6
44,509.6,-1226.3
45,619.2,-1402
46,593.4,-1468.2
47,601.1,-1384.2
48,540.7,-1328.7
49,368.7,-1317.9
50,439.9,-1346.7
51,359.2,-1369
52,575.2,-1449.6
53,555,-2236.5
54,514,-2343.1
